,title,release_date,genre,duration,director,producers,cast,nationality,distributor,box_office_title,box_office_first_week,press_eval,viewers_eval,views,budget,Temperature Moyenne,Lille,Bordeaux,Lyon,Paris
4480,trolljegeren,2011-07-27,"Action, Aventure, Drame",1h 43min,André Øvredal,André Øvredal,"Otto Jespersen, Glenn Erland Tosterud, Johanna Mørck",Norvège,Universal Pictures International France,Box Office France,3 603,"2,6","2,9",347308,3500000,21.35,16.38,22.26,19.29,18.83
4482,"si tu meurs, je te tue",2011-03-23,Comédie,1h 30min,Hiner Saleem,Hiner Saleem,"Jonathan Zaccaï, Golshifteh Farahani, Özz Nüjen",France,Océan Films,Box Office France,15 290,"3,8","3,1",85726,0,11.57,9.61,11.73,11.73,12.79
4483,le fantôme de canterville,2016-04-06,"Fantastique, Comédie",1h 36min,Yann Samuell,"Yves Marmion, Yann Samuell","Audrey Fleurot, Michaël Youn, Michèle Laroque",France,UGC Distribution,Box Office France,169 473,"2,8","1,9",459270,0,11.33,10.83,10.67,12.71,8.42
4486,superstar,2012-08-29,Comédie dramatique,1h 52min,Xavier Giannoli,Xavier Giannoli,"Kad Merad, Cécile de France, Louis-Do de Lencquesaing",France,Wild Bunch Distribution,Box Office France,127 012,"3,0","1,8",1240000,14000000,21.57,16.34,19.87,18.15,18.51
4487,bus palladium,2010-03-17,Comédie dramatique,1h 40min,Christopher Thompson,"Christopher Thompson, Thierry Klifa","Marc-André Grondin, Arthur Dupont, Jules Pelissier",France,StudioCanal,Box Office France,53 579,"3,0","2,7",617046,0,11.19,11.11,11.8,10.59,11.43
4490,fou d'amour,2015-09-16,Comédie dramatique,1h 47min,Philippe Ramos,Philippe Ramos,"Melvil Poupaud, Dominique Blanc, Diane Rouxel",France,Alfama Films,Box Office France,11 448,"3,4","3,2",1564150,0,19.66,13.31,16.37,16.98,13.62
4491,on voulait tout casser,2015-06-03,Comédie dramatique,1h 26min,Philippe Guillard,Philippe Guillard,"Kad Merad, Charles Berling, Benoît Magimel",France,Gaumont Distribution,Box Office France,80 609,"2,8","2,7",621064,9,20.87,14.2,22.17,25.21,19.78
4492,comment tuer sa mère,2018-06-13,Comédie,1h 20min,David Diane,Morgan Spillemaecker,"Vincent Desagnat, Chantal Ladesou, Julien Arruti",France,SND,Box Office France,67 081,"1,7",--,506548,0,18.91,16.13,18.7,18.34,17.38
4493,"lingui, les liens sacrés",2021-12-08,Drame,1h 28min,Mahamat-Saleh Haroun,Mahamat-Saleh Haroun,"Achouackh Abakar, Rihane Khalil Alio, Youssouf Djaoro",France,Ad Vitam,Box Office France,5 606,"3,1","2,7",5753,0,14.54,6.53,8.22,2.86,6.08
4494,maya,2018-12-19,"Drame, Romance",1h 45min,Mia Hansen-Løve,Mia Hansen-Løve,"Roman Kolinka, Aarshi Banerjee, Alex Descas",France,Les Films du Losange,Box Office France,20 775,"3,3","2,8",119743,0,17.75,8.0,11.71,9.01,9.02
4495,sweat,2022-06-15,"Comédie dramatique, Drame, Comédie",1h 46min,Magnus von Horn,Magnus von Horn,"Magdalena Kolesnik, Julian Swiezewski, Aleksandra Konieczna",Suède,ARP Sélection,Box Office France,8 396,"3,2","2,9",92966,1619835,23.55,18.64,25.47,28.01,21.64
4496,tian zhu ding,2013-12-11,Drame,2h 10min,Jia Zhangke,Jia Zhangke,"Wu Jiang, Wang Baoqiang, Zhao Tao",Chine,Ad Vitam,Box Office France,47 062,"4,5","3,7",113785,0,13.61,4.06,7.18,4.09,2.73
4498,exfiltrés,2019-03-06,"Drame, Thriller",1h 43min,Emmanuel Hamon,Benjamin Dupas,"Swann Arlaud, Finnegan Oldfield, Jisca Kalvanda",France,Twentieth Century Fox France,Box Office France,28 438,"3,3","3,4",289188,0,9.57,8.39,10.21,9.97,9.27
4499,the sessions,2013-03-06,Comédie dramatique,1h 35min,Ben Lewin,Ben Lewin,"John Hawkes, Helen Hunt, William H. Macy",U.S.A.,Twentieth Century Fox France,Box Office France,14 061,"3,4","3,8",200626,1000000,8.87,4.7,12.54,10.1,6.99
4504,couleur de peau: miel,2012-06-06,Animation,1h 15min,Jung,Laurent Boileau,"Maxym Anciaux, Cathy Boquet, Mahé Collet",France,Gebeka Films,Box Office France,7 843,"3,6","4,0",238315,0,17.43,14.91,17.93,16.67,14.64
4505,la doppia ora,2010-08-04,Thriller,1h 35min,Giuseppe Capotondi,"Alessandro Fabbri, Ludovica Rampoldi","Kseniya Rappoport, Filippo Timi, Giorgio Colangeli",Italie,Bellissima Films,Box Office France,8 677,"2,6","3,4",186769,3906840,21.73,18.61,18.72,21.34,18.97
4506,plein sud,2009-12-30,Drame,1h 30min,Sébastien Lifshitz,"Sébastien Lifshitz, Stéphane Bouquet","Yannick Renier, Léa Seydoux, Théo Frilet",France,Ad Vitam,Box Office France,13 299,"2,8","1,8",126646,0,10.39,-2.61,3.62,-0.34,-1.73
4508,inxeba,2017-04-19,Drame,1h 28min,John Trengove,"John Trengove, Thando Mgqolozana","Nakhane Touré, Bongile Mantsai, Niza Jay Ncoyini",Afrique du Sud,Pyramide Distribution,Box Office France,7 895,"3,6","3,6",233085,0,11.21,7.83,14.03,9.77,8.41
4514,le voyage du prince,2019-12-04,Animation,1h 17min,Jean-François Laguionie,"Xavier Picard, Jean-François Laguionie, Anik Le Ray","Enrico Di Giovanni, Thomas Sagols, Gabriel Le Doze",Luxembourg,Gebeka Films,Box Office France,16 217,"4,1","3,9",68457,4200000,13.92,5.79,6.91,3.41,4.47
4516,poupoupidou,2011-01-12,Policier,1h 42min,Gérald Hustache-Mathieu,Gérald Hustache-Mathieu,"Jean-Paul Rouve, Sophie Quinton, Guillaume Gouix",France,Diaphana Distribution,Box Office France,80 320,"3,4","3,5",450337,0,7.7,9.31,9.98,8.58,8.61
4519,kollektivet,2017-01-18,Drame,1h 51min,Thomas Vinterberg,"Thomas Vinterberg, Tobias Lindholm","Trine Dyrholm, Ulrich Thomsen, Helene Reingaard Neumann",Danemark,Le Pacte,Box Office France,30 357,"2,7","3,2",302339,0,-1.02,-0.29,0.59,-4.8,-3.6
4520,breaking in,2018-08-29,Thriller,1h 28min,James McTeigue,Ryan Engle,"Gabrielle Union, Billy Burke, Richard Cabral",U.S.A.,Universal Pictures International France,Box Office France,285,"2,3",--,40872,6000000,22.16,17.07,21.17,19.99,17.55
4521,tout de suite maintenant,2016-06-22,Drame,1h 38min,Pascal Bonitzer,"Pascal Bonitzer, Agnès De Sacy","Agathe Bonitzer, Vincent Lacoste, Lambert Wilson",France,Ad Vitam,Box Office France,92 025,"3,5","2,5",170698,0,21.34,18.94,20.45,23.65,18.68
4524,as boas maneiras,2018-03-21,"Fantastique, Drame",2h 16min,Juliana Rojas,"Marco Dutra, Juliana Rojas, Marco Dutra","Isabél Zuaa, Marjorie Estiano, Eduardo Gomes",Brésil,Jour2fête,Box Office France,13 676,"3,9","3,4",194800,0,7.94,5.89,7.84,5.69,8.29
4525,lukas,2018-08-22,"Action, Thriller, Judiciaire",1h 23min,Julien Leclercq,Jérémie Guez,"Jean-Claude Van Damme, Sveva Alviti, Sami Bouajila",France,Océan Films,Box Office France,43 011,"2,6","2,8",565149,3383890,22.41,16.18,21.28,22.76,17.84
4526,toivon tuolla puolen,2017-03-15,"Drame, Comédie",1h 40min,Aki Kaurismäki,Aki Kaurismäki,"Sherwan Haji, Sakari Kuosmanen, Ilkka Koivula",Finlande,Diaphana Distribution,Box Office France,87 729,"4,3","3,8",216570,0,11.86,11.86,11.65,13.44,11.37
4529,frères d'arme,2021-07-14,Drame,1h 21min,Sylvain Labrosse,"Sylvain Labrosse, Stéphane Schoukroun","Vincent Rottiers, Kévin Azaïs, Pauline Parigot",France,Destiny Films,Box Office France,1 515,"3,1","2,8",164802,0,22.72,21.22,24.02,18.96,21.38
4530,la source,2019-07-24,Comédie,1h 45min,Rodolphe Lauga,"Rodolphe Lauga, Julien Lambroschini"," Sneazzy, Christopher Lambert, Alice David",France,Apollo Films,Box Office France,13 475,"3,0","3,4",165929,0,25.0,24.02,20.74,25.84,24.42
4531,entourage,2015-06-24,Comédie,1h 44min,Doug Ellin,"Doug Ellin, Rob Weiss","Adrian Grenier, Kevin Connolly, Kevin Dillon",U.S.A.,Warner Bros. France,Box Office France,24 573,"2,2","3,2",398230,30000000,22.39,20.08,22.23,21.13,22.52
4532,rattrapage,2017-08-09,Comédie,1h 25min,Tristan Séguéla,"Olivier Demangel, Tristan Séguéla","Anthony Sonigo, Jimmy Labeeu, Tanguy Onakoy",France,UGC Distribution,Box Office France,68 799,"2,0",--,369418,0,21.42,17.06,21.17,19.6,17.26
4533,des lendemains qui chantent,2014-08-20,Comédie,1h 34min,Nicolas Castro,Nicolas Castro,"Pio Marmaï, Laetitia Casta, Ramzy Bedia",France,UGC Distribution,Box Office France,54 446,"3,1","2,9",500237,0,19.53,12.64,18.75,17.41,14.86
4534,holy lands,2019-01-16,"Drame, Comédie",1h 40min,Amanda Sthers,Amanda Sthers,"James Caan, Tom Hollander, Rosanna Arquette",Belgique,StudioCanal,Box Office France,24 230,"2,2","2,9",138961,0,2.81,1.55,6.02,2.25,1.22
4537,neighbors 2: sorority rising,2016-07-06,Comédie,1h 33min,Nicholas Stoller,"Jay Cohen, Seth Rogen","Seth Rogen, Zac Efron, Rose Byrne",U.S.A.,Universal Pictures International France,Box Office France,217 611,"2,5","2,4",219997,35000000,21.36,18.16,20.1,21.55,19.97
4539,the railway man,2014-06-11,"Drame, Biopic",1h 48min,Jonathan Teplitzky,"Frank Cottrell Boyce, Andy Paterson","Colin Firth, Nicole Kidman, Jeremy Irvine",Australie,Metropolitan FilmExport,Box Office France,36 282,"2,2","3,5",68488,18000000,20.96,16.93,23.69,22.25,17.93
4541,feathers,2022-03-23,"Comédie dramatique, Fantastique",1h 52min,Omar El Zohairy,"Ahmed Amer (II), Omar El Zohairy","Demyana Nassar, Samy Bassouny, Fady Mina Fawzy",France,Dulac Distribution,Box Office France,5 471,"3,9","2,7",82882,0,12.23,10.47,14.11,13.23,11.32
4542,rak ti khon kaen,2015-09-02,Drame,2h 02min,Apichatpong Weerasethakul,Apichatpong Weerasethakul,"Jenjira Pongpas, Banlop Lomnoi, Jarinpattra Rueangram",Thaïlande,Pyramide Distribution,Box Office France,17 503,"4,3","3,0",219589,980000,19.36,13.15,15.62,16.29,15.74
4543,dream house,2011-10-05,"Thriller, Drame",1h 31min,Jim Sheridan,David Loucka,"Daniel Craig, Naomi Watts, Rachel Weisz",U.S.A.,Warner Bros. France,Box Office France,152 900,"1,5","2,5",2354798,50000000,19.74,14.83,15.78,13.22,14.87
4544,czysciec,2022-11-02,Drame,1h 36min,Michał Kondrat,Michał Kondrat,"Malgorzata Kozuchowska, Kamila Kaminska, Philippe Tlokinski",Pologne,Saje Distribution,Box Office France,1 804,"2,9",--,5727,0,18.55,10.88,14.88,11.93,11.05
4547,the resident,2011-07-27,"Thriller, Drame, Epouvante-horreur",1h 31min,Antti Jokinen,"Antti Jokinen, Robert Orr","Hilary Swank, Jeffrey Dean Morgan, Lee Pace",U.S.A.,Metropolitan FilmExport,Box Office France,35 962,"1,4","1,8",330995,20000000,21.35,16.38,22.26,19.29,18.83
4548,évolution,2016-03-16,Fantastique,1h 21min,Lucile Hadzihalilovic,"Lucile Hadzihalilovic, Alanté Kavaité","Max Brebant, Julie-Marie Parmentier, Roxane Duran",France,Potemkine Films,Box Office France,2 100,"3,5","2,0",103846,0,7.63,5.93,8.44,6.67,6.13
4550,happî awâ,2018-05-02,"Drame, Romance",2h 19min,Ryūsuke Hamaguchi,"Ryūsuke Hamaguchi, Tadashi Nohara","Sachie Tanaka, Hazuki Kikuchi, Maiko Mihara",Japon,Art House,Box Office France,20 123,"4,0","3,8",299210,0,15.81,15.02,13.91,19.25,12.89
4551,les ex,2017-06-21,Comédie,1h 24min,Maurice Barthélémy,Maurice Barthélémy,"Jean-Paul Rouve, Maurice Barthélémy, Claudia Tagbo",France,SND,Box Office France,185 922,"2,2","2,3",611562,0,23.09,18.57,23.09,26.55,22.26
4552,le fils de l'autre,2012-04-04,Drame,1h 45min,Lorraine Levy,"Nathalie Saugeon, Lorraine Levy","Emmanuelle Devos, Pascal Elbé, Jules Sitruk",France,Haut et Court,Box Office France,88 017,"2,9","3,8",687010,0,10.41,7.33,11.45,10.46,8.8
4556,l'amant d'un jour,2017-05-31,Drame,1h 16min,Philippe Garrel,"Jean-Claude Carrière, Caroline Deruas","Eric Caravaca, Esther Garrel, Louise Chevillotte",France,SBS Distribution,Box Office France,23 197,"3,5","3,0",183090,0,18.74,16.5,17.34,19.06,18.78
4557,submarino,2010-09-01,Drame,1h 50min,Thomas Vinterberg,"Tobias Lindholm, Thomas Vinterberg","Jakob Cedergren, Peter Plaugborg, Sebastian Bull Sarning",Danemark,MK2 Diffusion,Box Office France,9 326,"2,9","3,9",259315,0,21.54,15.34,21.36,17.79,18.2
4558,jimmy's hall,2014-07-02,"Drame, Historique",1h 49min,Ken Loach,Paul Laverty,"Barry Ward, Simone Kirby, Andrew Scott",Grande-Bretagne,Le Pacte,Box Office France,141 610,"3,4","3,7",390245,0,21.2,17.1,20.15,21.57,20.17
4559,sir,2018-12-26,"Romance, Drame",1h 39min,Rohena Gera,Rohena Gera,"Tillotama Shome, Vivek Gomber, Geetanjali Kulkarni",Inde,Diaphana Distribution,Box Office France,50 910,"3,8","4,1",229467,0,14.02,4.67,6.59,3.48,3.37
4560,nine lives,2016-08-03,"Comédie, Fantastique",1h 28min,Barry Sonnenfeld,"Matt Allen, Daniel Antoniazzi","Kevin Spacey, Jennifer Garner, Christopher Walken",France,EuropaCorp Distribution,Box Office France,141 432,"2,2","2,5",304641,30000000,21.59,17.73,18.83,20.79,19.59
4561,the mercy,2018-03-07,Drame,1h 42min,James Marsh,Scott Z. Burns,"Colin Firth, Rachel Weisz, David Thewlis",Grande-Bretagne,StudioCanal,Box Office France,30 909,"2,7","2,8",264392,18000000,9.52,8.57,9.3,9.81,9.91
4562,coldwater,2014-07-09,"Drame, Thriller",1h 48min,Vincent Grashaw,"Vincent Grashaw, Mark Penney","P.J. Boudousqué, James C. Burns, Chris Petrovski",U.S.A.,KMBO,Box Office France,34 511,"2,9","3,9",363217,750000,20.15,17.7,19.04,18.58,17.44
4563,gekijōban mazinger z,2017-11-22,"Science fiction, Action, Animation",1h 30min,Junji Shimizu,Takahiro Ozawa,"Arnaud Ducret, Natsuki Hanae, Unshô Ishizuka",Japon,Eurozoom,Box Office France,12 415,"2,9","2,2",142307,Erreur lors de la requête API 2.,15.39,6.58,8.51,7.84,7.0
4564,jiang hu er nü,2019-02-27,"Romance, Drame",2h 15min,Jia Zhangke,Jia Zhangke,"Zhao Tao, Liao Fan, Xu Zheng",Chine,Ad Vitam,Box Office France,50 846,"4,0","3,6",62561,0,10.17,9.54,12.8,8.66,10.83
4565,victoria and abdul,2017-10-04,"Biopic, Drame, Historique",1h 52min,Stephen Frears,Lee Hall,"Judi Dench, Ali Fazal, Suzy Eddie Izzard",Grande-Bretagne,Universal Pictures International France,Box Office France,72 053,"3,0","3,8",119329,0,18.32,13.15,13.77,12.04,12.63
4570,"hvítur, hvítur dagur",2020-01-29,Drame,1h 44min,Hlynur Pálmason,Hlynur Pálmason,"Ingvar Sigurðsson, Ída Mekkín Hlynsdóttir, Hilmir Snær Guðnason",Islande,Urban Distribution,Box Office France,3 639,"3,5","3,1",127757,0,9.49,7.61,13.45,10.52,10.87
4571,la belle bleue,2023-01-18,Comédie dramatique,1h 38min,Ronan De Suin,"Ronan De Suin, Ioanna André","Ioanna André, Ronan De Suin",France,Cinéma Saint-André des Arts,Box Office France,57,"3,6",--,5237,0,1.73,1.7,1.29,0.82,1.84
4572,années 20,2022-04-27,Drame,1h 30min,Elisabeth Vogler,"Elisabeth Vogler, Joris Avodo","Noémie Schmidt, Alice de Lencquesaing, Manuel Severi",France,Wayna Pitch,Box Office France,672,"2,5","3,3",10628,0,14.03,13.35,14.83,13.08,11.91
4573,un été brûlant,2011-09-28,Drame,1h 35min,Philippe Garrel,"Philippe Garrel, Marc Cholodenko","Monica Bellucci, Louis Garrel, Céline Sallette",France,Wild Bunch Distribution,Box Office France,10 867,"3,3","1,8",544761,0,22.81,17.29,20.05,18.63,19.07
4574,mænd & høns,2016-05-25,Comédie dramatique,1h 44min,Anders Thomas Jensen,Anders Thomas Jensen,"Mads Mikkelsen, David Dencik, Nicolas Bro",Danemark,Urban Distribution,Box Office France,7 545,"3,5","3,5",136506,0,17.44,16.45,18.31,14.84,16.61
4575,marche ou crève,2018-12-05,Drame,1h 25min,Margaux Bonhomme,"Margaux Bonhomme, Fanny Burdino","Diane Rouxel, Jeanne Cohendy, Cédric Kahn",France,Nour Films,Box Office France,4 712,"3,4","3,1",268814,0,16.82,8.54,9.35,8.68,8.53
4576,trois mondes,2012-12-05,"Policier, Drame",1h 41min,Catherine Corsini,"Catherine Corsini, Benoît Graffin","Raphaël Personnaz, Clotilde Hesme, Arta Dobroshi",France,Pyramide Distribution,Box Office France,45 992,"3,2","3,1",811224,0,11.94,2.17,4.4,1.31,2.84
4577,your highness,2011-09-07,"Comédie, Fantastique, Aventure",1h 42min,David Gordon Green,"Ben Best, Danny McBride","Danny McBride, James Franco, Zooey Deschanel",U.S.A.,Universal Pictures International France,Box Office France,4 897,"1,9","2,0",452802,49900000,23.12,17.11,21.15,21.84,19.48
4578,lupin iii: the first,2020-10-07,"Animation, Aventure, Action",1h 33min,Takashi Yamazaki,Takashi Yamazaki,"Maxime Donnay, Kanichi Kurita, Michel Hinderyckx",Japon,Eurozoom,Box Office France,25 924,"3,6","3,0",48734,0,17.57,10.04,13.92,10.89,12.01
4579,viceroy's house,2017-07-05,"Drame, Historique",1h 47min,Gurinder Chadha,"Paul Mayeda Berges, Moira Buffini","Hugh Bonneville, Gillian Anderson, Manish Dayal",Grande-Bretagne,Pathé,Box Office France,56 685,"2,8","3,8",518539,0,24.63,22.78,23.65,25.88,23.82
4580,juillet août,2016-07-13,Comédie dramatique,1h 36min,Diastème, Diastème,"Alma Jodorowsky, Luna Lou, Patrick Chesnais",France,Diaphana Distribution,Box Office France,34 716,"2,7","2,4",217938,0,21.89,19.89,22.06,20.05,19.46
4581,je vais mieux,2018-05-30,Comédie,1h 26min,Jean-Pierre Améris,Jean-Pierre Améris,"Eric Elmosnino, Ary Abittan, Judith El Zein",France,EuropaCorp Distribution,Box Office France,68 998,"2,7","2,5",323290,0,19.0,17.29,18.32,18.93,18.45
4583,mes provinciales,2018-04-18,Drame,2h 17min,Jean Paul Civeyrac,Jean Paul Civeyrac,"Andranic Manet, Gonzague Van Bervesselès, Corentin Fila",France,ARP Sélection,Box Office France,11 365,"3,8","3,1",59945,0,17.75,16.44,19.24,19.22,17.86
4585,wild target,2010-07-07,"Action, Comédie, Drame",1h 38min,Jonathan Lynn,Lucinda Coxon,"Bill Nighy, Rupert Grint, Emily Blunt",Grande-Bretagne,Rezo Films,Box Office France,71 186,"3,1","3,4",357611,8000000,25.74,25.6,25.39,27.17,23.55
4586,a promise,2014-04-16,"Drame, Romance",1h 34min,Patrice Leconte,"Patrice Leconte, Jérôme Tonnerre","Rebecca Hall, Alan Rickman, Richard Madden",France,Mars Films,Box Office France,54 391,"3,1","3,2",337071,0,12.55,10.88,14.23,10.44,11.18
4588,funan,2019-03-06,"Animation, Drame",1h 22min,Denis Do,"Denis Do, Magali Pouzol","Bérénice Bejo, Louis Garrel, Colette Kieffer",Cambodge,Bac Films,Box Office France,9 141,"3,8","4,0",344195,0,9.57,8.39,10.21,9.97,9.27
4590,the underdog,2020-06-22,Animation,1h 42min,Oh Sung-yoon,"Lee Choon-Baek, Oh Sung-yoon","Claire Tefnin, Park So-Dam, Franck Dacquin",Corée du Sud,The Jokers / Les Bookmakers,Box Office France,22 113,"3,5","2,7",86018,0,20.05,19.45,18.59,18.26,18.96
4591,never rarely sometimes always,2020-08-19,Drame,1h 42min,Eliza Hittman,Eliza Hittman,"Sidney Flanigan, Talia Ryder, Théodore Pellerin",U.S.A.,Universal Pictures International France,Box Office France,10 535,"3,4","3,5",51902,0,24.69,20.21,23.17,22.84,23.22
4592,remember,2016-03-23,"Drame, Thriller",1h 35min,Atom Egoyan,Benjamin August,"Christopher Plummer, Martin Landau, Bruno Ganz",Canada,ARP Sélection,Box Office France,16 722,"3,1","3,9",195781,0,10.54,9.22,12.38,9.99,9.12
4594,jamais contente,2017-01-11,Comédie,1h 30min,Emilie Deleuze,"Marie Desplechin, Emilie Deleuze","Léna Magnien, Patricia Mazuy, Philippe Duquesne",France,Ad Vitam,Box Office France,25 081,"3,2","2,9",195292,0,3.6,3.58,7.14,2.34,2.93
4596,floride,2015-08-12,Comédie dramatique,1h 50min,Philippe Le Guay,"Jérôme Tonnerre, Philippe Le Guay","Jean Rochefort, Sandrine Kiberlain, Anamaria Marinca",France,Gaumont Distribution,Box Office France,177 102,"3,0","3,5",437594,0,22.16,18.3,18.82,21.83,18.87
4598,mercuriales,2014-11-26,Drame,1h 48min,Virgil Vernier,"Virgil Vernier, Mariette Désert","Ana Neborac, Philippine Stindel, Jad Solesme",France,Shellac,Box Office France,2 529,"3,8","2,7",31784,0,16.92,7.23,12.67,8.95,7.76
4599,terminal sud,2019-11-20,"Drame, Thriller",1h 36min,Rabah Ameur-Zaïmeche,Rabah Ameur-Zaïmeche,"Ramzy Bedia, Amel Brahim-Djelloul, Slimane Dazi",France,Potemkine Films,Box Office France,2 434,"3,4","2,3",41909,0,15.65,5.39,9.31,7.99,8.56
4602,sauvages,2019-03-20,"Romance, Drame",1h 32min,Dennis Berry,Dennis Berry,"Nadia Tereszkiewicz, Catarina Wallenstein, João Nunes Monteiro",France,Alfama Films,Box Office France,467,"1,6","2,7",21903,0,9.4,9.85,10.49,7.56,7.11
4604,természetes fény,2023-01-11,Drame,1h 43min,Dénes Nagy,Dénes Nagy,"Ferenc Szabó, László Bajkó, Tamás Garbacz",Hongrie,Nour Films,Box Office France,1 901,"3,4","3,6",4253,0,6.76,7.36,9.68,6.79,7.95
4605,tracks,2016-04-27,"Biopic, Aventure",1h 52min,John Curran,Marion Nelson,"Mia Wasikowska, Adam Driver, Rainer Bock",Australie,Septième Factory,Box Office France,6 488,"3,3","3,7",296277,0,10.94,8.42,10.53,9.89,8.88
4606,"stars 80, la suite",2017-12-06,"Comédie, Musical",1h 52min,Thomas Langmann,Thomas Langmann,"Richard Anconina, Patrick Timsit, Bruno Lochet",France,Wild Bunch Distribution,Box Office France,178 540,"1,6","1,6",381120,0,13.66,3.36,6.54,4.91,4.47
4610,algunas bestias,2022-04-20,Thriller,1h 35min,Jorge Riquelme Serrano,"Jorge Riquelme Serrano, Nicolás Diodovich","Paulina García, Alfredo Castro, Consuelo Carreño",Chili,Tamasa Distribution,Box Office France,99,"2,8","2,7",2884,0,13.17,11.85,12.6,12.55,12.86
4611,après la bataille,2015-07-15,Drame,1h 20min,Simon Leclere,"Simon Leclere, Agnès Feuvre","Paul Bartel (II), Solène Rigot, Pierre Boulanger",France,Jour2fête,Box Office France,1 223,"2,8","2,3",122362,0,23.88,19.53,24.29,26.25,20.35
4612,sous le ciel d’alice,2021-06-30,Comédie dramatique,1h 30min,Chloé Mazlo,"Chloé Mazlo, Yacine Badday","Alba Rohrwacher, Wajdi Mouawad, Isabelle Zighondi",France,Ad Vitam,Box Office France,13 219,"3,7","3,4",21942,0,20.69,16.25,21.46,21.11,18.64
4613,une année polaire,2018-05-30,"Aventure, Drame, Comédie",1h 34min,Samuel Collardey,"Samuel Collardey, Catherine Paillé","Anders Hvidegaard, Asser Boassen, Thomasine Jonathansen",France,Ad Vitam,Box Office France,27 186,"3,5","3,7",82194,0,19.0,17.29,18.32,18.93,18.45
4616,le petit locataire,2016-11-16,Comédie,1h 44min,Nadège Loiseau,"Nadège Loiseau, Fanny Burdino","Karin Viard, Philippe Rebbot, Hélène Vincent",France,Diaphana Distribution,Box Office France,104 962,"3,4","3,2",396958,0,18.0,9.76,12.22,12.07,9.93
4617,alien crystal palace,2019-01-23,Comédie dramatique,1h 37min,Arielle Dombasle,"Jacques Fieschi, Arielle Dombasle","Arielle Dombasle, Nicolas Ker, Asia Argento",France,Orange Studio,Box Office France,1 268,"2,2","1,1",47608,0,3.97,2.54,6.74,2.28,4.27
4618,ramona and beezus,2011-01-19,"Famille, Comédie dramatique",1h 43min,Elizabeth Allen Rosenbaum,"Laurie Craig, Nick Pustay","Selena Gomez, Joey King, Hutch Dano",U.S.A.,Twentieth Century Fox France,Box Office France,573,"2,0","3,5",40002,15000000,2.69,4.67,2.55,0.0,3.25
4619,la reine des pommes,2010-02-24,"Comédie dramatique, Romance",1h 24min,Valérie Donzelli,Valérie Donzelli,"Valérie Donzelli, Jérémie Elkaïm, Béatrice de Staël",France,Shellac,Box Office France,10 827,"3,5","2,5",115945,0,8.7,7.04,11.41,8.69,8.34
4620,l'age de raison,2010-07-28,"Comédie, Romance, Famille",1h 37min,Yann Samuell,Yann Samuell,"Sophie Marceau, Jonathan Zaccaï, Marton Csokas",France,Mars Films,Box Office France,204 114,"2,6","2,2",868555,8000000,22.26,17.72,21.35,22.03,20.18
4621,les petits flocons,2019-01-23,Comédie,1h 20min,Joséphine de Meaux,"Joséphine de Meaux, Jeanne Herry","Joséphine de Meaux, Grégoire Ludig, Gustave Kervern",France,Bac Films,Box Office France,34 041,"1,7","1,8",314218,0,3.97,2.54,6.74,2.28,4.27
4623,a thousand words,2012-05-16,"Comédie, Drame",1h 31min,Brian Robbins,Steve Koren,"Eddie Murphy, Kerry Washington, Allison Janney",U.S.A.,Paramount Pictures France,Box Office France,2 300,"1,4","2,6",223634,40000000,14.49,11.32,14.68,13.8,12.65
4624,compliance,2012-09-26,"Drame, Thriller, Judiciaire",1h 30min,Craig Zobel,Craig Zobel,"Dreama Walker, Ann Dowd, Matt Servitto",U.S.A.,Pretty Pictures,Box Office France,12 825,"3,3","2,7",933497,270000,18.35,12.53,14.61,13.59,12.04
4625,la chair de ma chair,2013-07-24,Drame,1h 16min,Denis Dercourt,Denis Dercourt,"Anna Juliana Jaenner, Mathieu Charrière, François Smesny",France,Zootrope Films,Box Office France,599,"2,6","2,6",10371,0,23.68,20.68,23.78,22.23,21.73
4632,blancanieves,2013-01-23,Drame,1h 49min,Pablo Berger,Pablo Berger,"Maribel Verdú, Macarena García, Daniel Giménez Cacho",Espagne,Rezo Films,Box Office France,30 961,"4,0","3,8",222932,0,2.41,-0.84,4.75,1.18,2.96
4633,souterrain,2022-01-26,Drame,1h 37min,Sophie Dupuis,Sophie Dupuis,"Joakim Robillard, Théodore Pellerin, James Hyndman",Canada,Les Alchimistes,Box Office France,286,"3,3","2,7",29903,0,4.07,5.31,4.04,-0.24,7.22
4635,night school,2018-12-05,Comédie,1h 51min,Malcolm D. Lee,"Harry Ratchford, Joey Wells","Kevin Hart, Tiffany Haddish, Mary Lynn Rajskub",U.S.A.,Universal Pictures International France,Box Office France,238,"2,3",--,54973,29000000,16.82,8.54,9.35,8.68,8.53
4637,the double,2014-08-13,"Drame, Thriller, Comédie",1h 29min,Richard Ayoade,"Richard Ayoade, Avi Korine","Jesse Eisenberg, Mia Wasikowska, Wallace Shawn",Grande-Bretagne,Mars Films,Box Office France,13 311,"2,8","2,8",93959,17000000,20.19,15.79,17.65,18.42,16.1
4641,petite solange,2022-02-02,Comédie dramatique,1h 25min,Axelle Ropert,Axelle Ropert,"Jade Springer, Léa Drucker, Philippe Katerine",France,Haut et Court,Box Office France,8 711,"3,6","2,5",74906,0,6.54,6.23,8.06,5.6,7.83
