,title,release_date,genre,duration,director,producers,cast,nationality,distributor,box_office_title,box_office_first_week,press_eval,viewers_eval,views,budget
114,uncharted,2022-02-16,"Aventure, Action",1h 56min,Ruben Fleischer,"Rafe Judkins, Art Marcum","Tom Holland, Mark Wahlberg, Sophia Ali",U.S.A.,Sony Pictures Releasing France,Box Office France,955 650,"2,6","3,3",164244,120000000.0
115,annie colère,2022-11-30,Comédie dramatique,2h 00min,Blandine Lenoir,"Blandine Lenoir, Axelle Ropert","Laure Calamy, Zita Hanrot, India Hair",France,Diaphana Distribution,Box Office France,68 373,"3,8","4,0",159874,3500000.0
116,the boogeyman,2023-05-31,"Epouvante-horreur, Thriller",1h 39min,Rob Savage,"Mark Heyman, Scott Beck","Chris Messina, Sophie Thatcher, Vivien Lyra Blair",U.S.A.,The Walt Disney Company France,Box Office France,101 134,"3,2","2,7",55348,41900000.0
117,la chambre des merveilles,2023-03-15,Comédie dramatique,1h 38min,Lisa Azuelos,"Fabien Suarez, Juliette Sales","Alexandra Lamy, Muriel Robin, Hugo Questel",France,SND,Box Office France,298 308,"3,5","3,9",215080,0.0
118,goutte d'or,2023-03-01,Drame,1h 38min,Clément Cogitore,Clément Cogitore,"Karim Leklou, Jawad Outouia, Elyes Dkhissi",France,Diaphana Distribution,Box Office France,27 639,"3,8","3,2",113489,0.0
119,the meg,2018-08-22,"Thriller, Action",1h 54min,Jon Turteltaub,"Dean Georgaris, Jon Hoeber","Jason Statham, Bingbing Li, Rainn Wilson",U.S.A.,Warner Bros. France,Box Office France,710 798,"2,3","2,5",986255,150000000.0
120,de grandes espérances,2023-03-22,Drame,1h 45min,Sylvain Desclous,"Sylvain Desclous, Pierre Erwan Guillaume","Rebecca Marder, Benjamin Lavernhe, Emmanuelle Bercot",France,The Jokers / Les Bookmakers,Box Office France,82 734,"3,6","3,8",168560,0.0
121,pop redemption,2013-06-05,Comédie,1h 35min,Martin Le Gall,"Mark Eacersall, Martin Le Gall","Julien Doré, Grégory Gadebois, Jonathan Cohen",France,Gaumont Distribution,Box Office France,56 964,"2,6","2,9",824206,0.0
122,gisaengchung,2019-06-05,Thriller,2h 12min,Bong Joon Ho,"Bong Joon Ho, Jin Won Han","Song Kang-Ho, Woo-sik Choi, Park So-Dam",Corée du Sud,The Jokers / Les Bookmakers,Box Office France,376 842,"4,8","4,5",1139828,Erreur lors de la requête API 2.
123,sisu,2023-06-21,"Action, Guerre",1h 31min,Jalmari Helander,Jalmari Helander,"Jorma Tommila, Aksel Hennie, Jack Doolan",Finlande,SND,Box Office France,44 625,"2,7","3,3",186820,6200000
124,elemental,2023-06-21,"Animation, Comédie, Famille",1h 42min,Peter Sohn,"John Hoberg, Kat Likkel","Adèle Exarchopoulos, Leah Lewis, Vincent Lacoste",U.S.A.,The Walt Disney Company France,Box Office France,426 818,"3,5","3,9",105997,200000000
125,no hard feelings,2023-06-21,Comédie,1h 43min,Gene Stupnitsky,"Gene Stupnitsky, John M. Phillips","Jennifer Lawrence, Andrew Barth Feldman, Laura Benanti",U.S.A.,Sony Pictures Releasing France,Box Office France,54 361,"3,0","3,1",77174,45000000
126,la vie d'adèle - chapitres 1 et 2,2013-10-09,"Drame, Romance",2h 57min,Abdellatif Kechiche,"Abdellatif Kechiche, Ghalya Lacroix","Léa Seydoux, Adèle Exarchopoulos, Salim Kechiouche",France,Wild Bunch Distribution,Box Office France,323 457,"4,6","3,6",1118139,4300000
127,un homme idéal,2015-03-18,Thriller,1h 37min,Yann Gozlan,"Yann Gozlan, Guillaume Lemans","Pierre Niney, Ana Girardot, André Marcon",France,Mars Films,Box Office France,337 525,"3,2","3,8",872602,0
128,chien de la casse,2023-04-19,Comédie dramatique,1h 33min,Jean-Baptiste Durand,Jean-Baptiste Durand,"Anthony Bajon, Raphaël Quenard, Galatea Bellugi",France,Bac Films,Box Office France,20 877,"3,7","4,1",40290,0
129,"cléo, melvil et moi",2023-07-05,Comédie dramatique,1h 13min,Arnaud Viard,Arnaud Viard,"Arnaud Viard, Marianne Denicourt, Romane Bohringer",France,Moonlight Films Distribution,Box Office France,1 849,"3,3","3,2",55913,0
130,dune,2021-09-15,"Science fiction, Drame",2h 36min,Denis Villeneuve,"Jon Spaihts, Denis Villeneuve","Timothée Chalamet, Rebecca Ferguson, Oscar Isaac",U.S.A.,Warner Bros. France,Box Office France,1 030 687,"4,0","4,3",590379,165000000
132,nos jours heureux,2006-06-28,Comédie,1h 43min,Eric Toledano,"Olivier Nakache, Olivier Nakache, Eric Toledano","Jean-Paul Rouve, Marilou Berry, Omar Sy",France,SND,Box Office France,252 982,"3,4","3,9",696218,7508646
133,à l’abordage,2021-07-21,Comédie,1h 35min,Guillaume Brac,"Guillaume Brac, Catherine Paillé","Éric Nantchouang, Salif Cissé, Édouard Sulpice",France,Arte,Box Office France,5 612,"3,9","3,8",58144,0
134,mission: impossible – dead reckoning part one,2023-07-12,"Action, Espionnage, Aventure",2h 43min,Christopher McQuarrie,"Christopher McQuarrie, Erik Jendresen","Tom Cruise, Hayley Atwell, Ving Rhames",U.S.A.,Paramount Pictures France,Box Office France,930 141,"4,0","4,2",159986,291000000
135,la cage dorée,2013-04-24,Comédie,1h 31min,Ruben Alves,"Ruben Alves, Jean-André Yerles","Rita Blanco, Joaquim de Almeida, Roland Giraud",Portugal,Pathé,Box Office France,288 750,"3,5","3,9",934514,7000000
136,scream vi,2023-03-08,Epouvante-horreur,2h 02min,Matt Bettinelli-Olpin,"Tyler Gillett, James Vanderbilt, Guy Busick","Melissa Barrera, Jenna Ortega, Courteney Cox",U.S.A.,Paramount Pictures France,Box Office France,464 821,"2,4","3,1",307904,35000000
137,joker,2019-10-09,Drame,2h 02min,Todd Phillips,"Todd Phillips, Scott Silver","Joaquin Phoenix, Robert De Niro, Zazie Beetz",U.S.A.,Warner Bros. France,Box Office France,1 576 425,"4,1","4,4",1095536,55000000
138,la syndicaliste,2023-03-01,"Thriller, Drame",2h 01min,Jean-Paul Salomé,"Fadette Drouard, Jean-Paul Salomé","Isabelle Huppert, Grégory Gadebois, Yvan Attal",France,Le Pacte,Box Office France,192 422,"3,3","3,9",182609,0
139,mademoiselle chambon,2009-10-14,"Drame, Romance",1h 41min,Stéphane Brizé,"Stéphane Brizé, Florence Vignon","Vincent Lindon, Sandrine Kiberlain, Aure Atika",France,Rezo Films,Box Office France,165 891,"3,7","3,2",290680,0
140,the son,2023-03-01,Drame,2h 03min,Florian Zeller,"Florian Zeller, Christopher Hampton","Hugh Jackman, Laura Dern, Vanessa Kirby",France,Orange Studio Distribution / UGC Distribution,Box Office France,102 272,"3,2","3,9",116466,5000000
141,no time to die,2021-10-06,"Action, Thriller, Espionnage",2h 43min,Cary Joji Fukunaga,"Neal Purvis, Robert Wade","Daniel Craig, Léa Seydoux, Rami Malek",U.S.A.,Universal Pictures International France,Box Office France,1 384 858,"3,1","3,7",525017,250000000
142,babylon,2023-01-18,"Historique, Drame",3h 09min,Damien Chazelle,Damien Chazelle,"Brad Pitt, Margot Robbie, Diego Calva",U.S.A.,Paramount Pictures France,Box Office France,508 796,"4,0","4,2",216480,78000000
143,des mains en or,2023-06-07,Comédie,1h 30min,Isabelle Mergault,"Isabelle Mergault, Jean-Pierre Hasson","Lambert Wilson, Josiane Balasko, Sylvie Testud",France,Zinc Film,Box Office France,109 081,"2,2","3,4",47253,0
144,master gardener,2023-07-05,"Drame, Thriller",1h 50min,Paul Schrader,Paul Schrader,"Joel Edgerton, Sigourney Weaver, Quintessa Swindell",U.S.A.,The Jokers / Les Bookmakers,Box Office France,20 443,"3,5","3,1",9899,0
145,knights of the zodiac,2023-05-24,"Aventure, Action, Fantastique",1h 52min,Tomasz Baginski,"Kiel Murray, Josh Campbell"," Mackenyu, Famke Janssen, Sean Bean",Japon,Sony Pictures Releasing France,Box Office France,41 841,"1,5","1,6",69714,60000000
146,petit pays,2020-08-28,Drame,1h 53min,Eric Barbier,"Jean-Paul Rouve, Eric Barbier","Jean-Paul Rouve, Djibril Vancoppenolle, Dayla De Medina",France,Pathé,Box Office France,71 131,"3,7","3,8",328193,0
147,spy,2015-06-17,"Comédie, Action",2h 00min,Paul Feig,Paul Feig,"Melissa McCarthy, Jason Statham, Jude Law",U.S.A.,Twentieth Century Fox France,Box Office France,249 389,"3,0","3,5",502505,65000000
148,john wick: chapter 4,2023-03-22,Action,2h 50min,Chad Stahelski,"Michael Finch, Shay Hatten","Keanu Reeves, Donnie Yen, Bill Skarsgård",U.S.A.,Metropolitan FilmExport,Box Office France,411 048,"3,6","3,9",190948,90000000
149,the little mermaid,2023-05-24,"Aventure, Famille, Fantastique",2h 16min,Rob Marshall,David Magee,"Halle Bailey, Jonah Hauer-King, Melissa McCarthy",U.S.A.,The Walt Disney Company France,Box Office France,582 814,"2,5","2,3",178156,250000000
150,erreur de la banque en votre faveur,2009-04-08,Comédie,1h 38min,Michel Munz,"Gérard Bitton, Michel Munz, Gérard Bitton","Gérard Lanvin, Jean-Pierre Darroussin, Barbara Schulz",France,Wild Bunch Distribution,Box Office France,304 692,"3,1","2,9",382826,0
151,ambulance,2022-03-23,"Thriller, Action",2h 16min,Michael Bay,Chris Fedak,"Jake Gyllenhaal, Yahya Abdul-Mateen II, Eiza Gonzalez",U.S.A.,Universal Pictures International France,Box Office France,142 412,"3,1","2,7",189407,40000000
152,il boemo,2023-06-21,"Biopic, Historique",2h 20min,Petr Vaclav,Petr Vaclav,"Vojtěch Dyk, Barbara Ronchi, Elena Radonicich",République tchèque,Nour Films,Box Office France,34 803,"4,0","4,0",77043,0
153,love life,2023-06-14,Drame,2h 04min,Kôji Fukada,Kôji Fukada,"Fumino Kimura, Tomorowo Taguchi, Tetta Shimada",Japon,Art House,Box Office France,34 071,"3,7","3,8",200777,0
154,emily,2023-03-15,"Biopic, Drame",2h 10min,Frances O'Connor,Frances O'Connor,"Emma Mackey, Fionn Whitehead, Oliver Jackson-Cohen",Grande-Bretagne,Wild Bunch Distribution,Box Office France,47 695,"3,1","3,7",27079,0
155,la nuit du 12,2022-07-13,"Thriller, Policier",1h 54min,Dominik Moll,"Dominik Moll, Gilles Marchand","Bastien Bouillon, Bouli Lanners, Théo Cholbi",France,Haut et Court,Box Office France,96 667,"4,4","4,1",283596,0
156,le parfum vert,2022-12-21,"Comédie, Policier",1h 41min,Nicolas Pariser,Nicolas Pariser,"Sandrine Kiberlain, Vincent Lacoste, Rüdiger Vogler",France,Diaphana Distribution,Box Office France,80 190,"3,5","2,3",129926,7800000
157,un tour chez ma fille,2021-06-16,Comédie,1h 29min,Eric Lavaine,"Eric Lavaine, Héctor Cabello Reyes","Josiane Balasko, Mathilde Seigner, Jérôme Commandeur",France,Pathé,Box Office France,146 389,"2,0","2,4",95957,0
158,petites,2023-02-22,Drame,1h 30min,Julie Lerat-Gersant,"François Roy (III), Julie Lerat-Gersant, François Roy (III)","Pili Groyne, Romane Bohringer, Victoire Du Bois",France,Haut et Court,Box Office France,12 466,"3,5","3,8",99147,1200000
159,lol (laughing out loud) ®,2009-02-04,Comédie,1h 47min,Lisa Azuelos,"Lisa Azuelos, Nans Delgado","Sophie Marceau, Christa Théret, Alexandre Astier",France,Pathé,Box Office France,738 734,"3,2","2,8",2271046,10900000
160,the whale,2023-03-08,Drame,1h 57min,Darren Aronofsky,Samuel D. Hunter,"Brendan Fraser, Sadie Sink, Ty Simpkins",U.S.A.,ARP Sélection,Box Office France,65 064,"3,2","4,1",249855,3000000
161,l'île rouge,2023-05-31,Drame,1h 57min,Robin Campillo,Robin Campillo,"Nadia Tereszkiewicz, Quim Gutiérrez, Charlie Vauselle",France,Memento Distribution,Box Office France,55 090,"3,5","2,7",175684,6570000
163,death on the nile,2022-02-09,"Policier, Thriller",2h 07min,Kenneth Branagh,Michael Green,"Kenneth Branagh, Gal Gadot, Emma Mackey",U.S.A.,The Walt Disney Company France,Box Office France,336 133,"3,0","3,1",175256,90000000
164,indiana jones and the dial of destiny,2023-06-28,"Action, Aventure",2h 34min,James Mangold,"James Mangold, John-Henry Butterworth","Harrison Ford, Phoebe Waller-Bridge, Mads Mikkelsen",U.S.A.,The Walt Disney Company France,Box Office France,1 089 875,"3,5","3,6",291166,294700000
165,la guerre des boutons,2011-09-14,"Famille, Aventure",1h 49min,Yann Samuell,Yann Samuell,"Eric Elmosnino, Mathilde Seigner, Fred Testot",France,UGC Distribution,Box Office France,635 321,"2,6","3,1",2371273,0
166,top gun: maverick,2022-05-25,Action,2h 11min,Joseph Kosinski,"Christopher McQuarrie, Ehren Kruger","Tom Cruise, Miles Teller, Jennifer Connelly",U.S.A.,Paramount Pictures France,Box Office France,1 529 608,"3,7","4,3",2331027,170000000
168,joyland,2022-12-28,"Drame, Romance",2h 06min,Saim Sadiq,Saim Sadiq,"Ali Junejo, Alina Khan, Sania Saeed",Pakistan,Condor Distribution,Box Office France,32 996,"3,9","4,1",97308,0
169,beau is afraid,2023-04-26,"Comédie, Aventure, Drame",2h 59min,Ari Aster,Ari Aster,"Joaquin Phoenix, Nathan Lane, Amy Ryan",U.S.A.,ARP Sélection,Box Office France,35 019,"3,6","3,3",146809,35000000
170,en corps,2022-03-30,"Comédie dramatique, Drame, Comédie",1h 58min,Cédric Klapisch,"Cédric Klapisch, Santiago Amigorena","Marion Barbeau, Hofesh Shechter, Denis Podalydès",France,StudioCanal,Box Office France,332 971,"3,4","4,1",322346,7780000
171,assault,2023-07-12,"Drame, Thriller",1h 30min,Adilkhan Yerzhanov,Adilkhan Yerzhanov,"Nurbek Mukushev, Azamat Nigmanov, Aleksandra Revenko",kazakhstan,Destiny Films,Box Office France,1 204,"3,8","3,5",3169,0
172,supercondriaque,2014-02-26,Comédie,1h 48min,Dany Boon,Dany Boon,"Dany Boon, Alice Pol, Kad Merad",France,Pathé,Box Office France,2 151 921,"2,4","2,4",1343463,0
173,ich bin dein mensch,2022-06-22,"Romance, Science fiction, Comédie, Drame",1h 45min,Maria Schrader,"Maria Schrader, Jan Schomburg","Maren Eggert, Dan Stevens, Sandra Hüller",Allemagne,Haut et Court,Box Office France,16 932,"3,1","3,7",76872,0
174,limbo,2023-07-12,"Thriller, Policier, Drame",1h 58min,Soi Cheang,Kin Yee Au,"Ka Tung Lam, Yase Liu, Mason Lee",Hong-Kong,Kinovista,Box Office France,23 509,"4,0","3,8",52538,0
175,mauvaises herbes,2018-11-21,Comédie,1h 40min,Kheiron, Kheiron," Kheiron, Catherine Deneuve, André Dussollier",France,Mars Films,Box Office France,201 117,"3,4","4,1",481870,0
176,sous le sable,2001-02-07,Drame,1h 35min,François Ozon,"François Ozon, Emmanuèle Bernheim","Charlotte Rampling, Bruno Cremer, Alexandra Stewart",Japon,Haut et Court,Box Office France,154 347,"4,3","3,2",35834,0
177,tout le monde m'appelle mike,2023-07-05,Thriller,1h 29min,Guillaume Bonnier,Guillaume Bonnier,"Abdirisak Mohamed, Daphne Patakia, Pierre Lottin",France,À Vif Cinémas / The Dark,Box Office France,397,"3,1","3,3",103802,1100000
178,nightmare alley,2022-01-19,"Drame, Thriller",2h 31min,Guillermo del Toro,"Guillermo del Toro, Kim Morgan","Bradley Cooper, Cate Blanchett, Toni Collette",U.S.A.,The Walt Disney Company France,Box Office France,142 309,"3,8","3,8",347833,60000000
179,rheingold,2023-06-28,"Biopic, Musical, Drame",2h 18min,Fatih Akın,Fatih Akın,"Emilio Sakraya, Mona Pirzad, Hussein Eliraqui",Allemagne,Pathé,Box Office France,11 672,"3,0","3,4",6425,0
180,the fabelmans,2023-02-22,"Biopic, Drame",2h 31min,Steven Spielberg,"Steven Spielberg, Tony Kushner","Gabriel LaBelle, Michelle Williams, Paul Dano",U.S.A.,Universal Pictures International France,Box Office France,367 332,"4,9","4,3",325831,40000000
181,65 - la terre d'avant,2023-03-15,"Science fiction, Thriller, Action",1h 33min,Scott Beck,"Bryan Woods, Scott Beck, Bryan Woods","Adam Driver, Ariana Greenblatt, Chloe Coleman",U.S.A.,Sony Pictures Releasing France,Box Office France,187 043,"2,0","2,0",67006,45000000
182,les choses simples,2023-02-22,Comédie,1h 35min,Eric Besnard,Eric Besnard,"Lambert Wilson, Grégory Gadebois, Marie Gillain",France,SND,Box Office France,222 130,"2,7","3,8",106493,5950000
183,guardians of the galaxy vol. 3,2023-05-03,"Action, Fantastique, Science fiction",2h 30min,James Gunn,James Gunn,"Chris Pratt, Zoe Saldana, Dave Bautista",U.S.A.,The Walt Disney Company France,Box Office France,1 323 124,"3,7","4,2",252758,250000000
184,tout simplement noir,2020-07-08,Comédie,1h 30min,Jean-Pascal Zadi,"John Wax, Kamel Guemra, Jean-Pascal Zadi","Jean-Pascal Zadi, Caroline Anglade,  Fary",France,Gaumont Distribution,Box Office France,255 537,"3,8","2,8",642603,0
185,corsage,2022-12-14,"Drame, Historique, Biopic",1h 53min,Marie Kreutzer,Marie Kreutzer,"Vicky Krieps, Florian Teichtmeister, Katharina Lorenz",Autriche,Ad Vitam,Box Office France,35 145,"3,7","3,1",116170,7580600
186,sexygénaires,2023-06-14,Comédie,1h 20min,Robin Sykes,"Antoine Raimbault, Robin Sykes","Thierry Lhermitte, Patrick Timsit, Marie Bunel",France,Apollo Films / Orange Studio,Box Office France,63 084,"2,8","2,6",25798,6000000
187,normale,2023-04-05,"Comédie dramatique, Drame, Comédie",1h 27min,Olivier Babinet,"Olivier Babinet, Juliette Sales","Benoît Poelvoorde, Justine Lacroix, Joseph Rozé",France,Haut et Court,Box Office France,12 196,"3,6","3,2",104569,4000000
189,c.r.a.z.y.,2006-05-03,Drame,2h 07min,Jean-Marc Vallée,"François Boulay, Jean-Marc Vallée","Michel Côté, Marc-André Grondin, Émile Vallée",Canada,L'Atelier Distribution,Box Office France,91 203,"3,8","3,8",310777,0
190,les petites victoires,2023-03-01,Comédie,1h 30min,Mélanie Auffret,"Michaël Souhaité, Mélanie Auffret","Michel Blanc, Julia Piaton, Lionel Abelanski",France,Zinc Film,Box Office France,250 360,"3,6","3,9",131216,5460000
191,je verrai toujours vos visages,2023-03-29,Drame,1h 58min,Jeanne Herry,Jeanne Herry,"Adèle Exarchopoulos, Dali Benssalah, Leïla Bekhti",France,StudioCanal,Box Office France,282 292,"4,1","4,4",412161,0
192,the flash,2023-06-14,"Action, Science fiction, Fantastique",2h 24min,Andy Muschietti,Christina Hodson,"Ezra Miller, Sasha Calle, Michael Shannon",U.S.A.,Warner Bros. France,Box Office France,388 700,"2,5","3,0",212971,190000000
193,harry potter à l'école des sorciers,2001-12-05,"Fantastique, Aventure, Famille",2h 32min,Chris Columbus,Steve Kloves,"Daniel Radcliffe, Rupert Grint, Emma Watson",U.S.A.,Warner Bros. France,Box Office France,2 316 734,"3,7","4,1",2067922,125000000
194,mon crime,2023-03-08,"Comédie dramatique, Policier, Judiciaire, Drame, Comédie",1h 43min,François Ozon,François Ozon,"Nadia Tereszkiewicz, Rebecca Marder, Isabelle Huppert",France,Gaumont Distribution,Box Office France,427 391,"4,0","3,9",162932,13700000
195,j’irai mourir dans les carpates,2020-09-16,"Comédie, Thriller",1h 36min,Antoine de Maximy,Antoine de Maximy,"Antoine de Maximy, Alice Pol, Max Boublil",France,Apollo Films,Box Office France,50 838,"2,5","3,7",153893,300000
196,suzume no tojimari,2023-04-12,"Animation, Aventure, Drame",2h 02min,Makoto Shinkai,Makoto Shinkai,"Lévanah Solomon, Nanoka Hara, Benjamin Jungers",Japon,Eurozoom,Box Office France,181 032,"3,8","4,2",63566,0
197,fast x,2023-05-17,Action,2h 21min,Louis Leterrier,"Dan Mazeau, Justin Lin","Vin Diesel, Michelle Rodriguez, Jason Momoa",U.S.A.,Universal Pictures International France,Box Office France,1 140 846,"2,9","3,1",215073,340000000
198,tenet,2020-08-26,"Action, Science fiction",2h 30min,Christopher Nolan,Christopher Nolan,"John David Washington, Kenneth Branagh, Robert Pattinson",U.S.A.,Warner Bros. France,Box Office France,948 378,"3,6","3,7",768550,205000000
199,les trois mousquetaires: d'artagnan,2023-04-05,"Aventure, Historique",2h 01min,Martin Bourboulon,"Alexandre De La Patellière, Matthieu Delaporte","François Civil, Vincent Cassel, Romain Duris",France,Pathé,Box Office France,1 007 159,"3,7","4,0",414751,27500000
200,le retour,2023-07-12,Drame,1h 46min,Catherine Corsini,"Catherine Corsini, Naïla Guiguet","Aïssatou Diallo Sagna, Suzy Bemba, Esther Gohourou",France,Le Pacte,Box Office France,22 450,"3,1","3,4",66538,4700000
201,la la land,2017-01-25,"Comédie musicale, Romance",2h 08min,Damien Chazelle,Damien Chazelle,"Ryan Gosling, Emma Stone, John Legend",U.S.A.,SND,Box Office France,754 534,"4,4","4,2",1639163,30000000
202,the aviator,2005-01-26,"Biopic, Drame, Historique",2h 45min,Martin Scorsese,John Logan,"Leonardo DiCaprio, Cate Blanchett, John C. Reilly",U.S.A.,TFM Distribution,Box Office France,640 883,"4,0","3,8",292985,110000000
203,inception,2010-07-21,"Science fiction, Thriller",2h 28min,Christopher Nolan,Christopher Nolan,"Leonardo DiCaprio, Marion Cotillard, Elliot Page",U.S.A.,Warner Bros. France,Box Office France,1 305 534,"4,1","4,5",3783089,160000000
204,à la belle étoile,2023-02-22,"Comédie, Drame",1h 50min,Sébastien Tulard,Cédric Ido,"Riadh Belaïche, Loubna Abidar, Christine Citti",France,Bac Films,Box Office France,67 974,"2,9","3,7",177947,0
